la,det
oficina,nmod
de,case
género,flat
y,cc
sexualidades,conj
",",punct
con,case
la,det
comunidad,nmod
del,case
departamento,nmod
de,case
educación,flat
básica,flat
",",punct
quienes,nsubj
pudieron,aux
informarse,acl
y,cc
aclarar,conj
dudas,obj
.,punct
#,advmod
ahora,advmod
|,punct
el,det
vicepresidente,nsubj
de,case
capacitación,nmod
de,case
#,nmod
anef,appos
",",punct
ignacio,appos
ramírez,flat
",",punct
y,cc
la,det
vicepresidenta,conj
de,case
la,det
mujer,nmod
y,cc
género,conj
#,flat
anef,appos
",",punct
gina,appos
sennas,flat
",",punct
se,obj
reúnen,ROOT
con,case
la,det
oficial,obl
de,case
programación,flat
de,case
la,det
oit,flat
",",punct
patricia,conj
roa,flat
",",punct
para,mark
programar,advcl
semininarios,obj
y,cc
cursos,conj
",",punct
y,cc
para,mark
tratar,conj
convenio,obj
190,nummod
oit,nsubj
",",punct
entre,case
otros,obl
.,punct
¡,punct
feliz,ROOT
lunes,nummod
!,punct
para,mark
comenzar,advcl
la,det
semana,obj
",",punct
les,obj
invitamos,ROOT
a,mark
leer,xcomp
el,det
artículo,obj
"""",punct
producción,appos
del,case
género,nmod
.,punct
aborto,ROOT
",",punct
usos,appos
del,case
derecho,nmod
y,cc
oposición,conj
